IP,PORT,DESCRIPTION
199.27.247.34,80,HVM  LLC (EXTENDED Stay Hotels)
66.169.58.239,80,Spectrum
68.115.135.86,80,Spectrum
199.27.243.130,80,Extended Stay Hotels (HVM  LLC)
74.120.41.162,80,HVM  LLC (EXTENDED Stay Hotels)
74.120.42.194,80,HVM  LLC (EXTENDED Stay Hotels)
75.143.248.73,80,Spectrum
75.143.251.177,80,Spectrum
74.120.41.68,80,HVM  LLC (EXTENDED Stay Hotels)
66.169.58.220,80,Spectrum
68.189.188.175,80,Spectrum
24.216.61.21,80,Spectrum
66.169.58.168,80,Spectrum
66.169.58.173,80,Spectrum
65.202.253.51,80,Extended Stay Hotels- Ppt1 With Qos- 984
66.169.58.132,80,Spectrum
75.143.248.114,80,Spectrum
65.202.253.58,80,Extended Stay Hotels- Ppt1 With Qos- 984
75.143.250.189,80,Spectrum
75.143.248.108,80,Spectrum
72.173.241.13,80,Viasat Communications
108.205.20.97,80,AT&T U-verse
108.205.20.161,80,AT&T U-verse
74.120.40.226,80,HVM  LLC (EXTENDED Stay Hotels)
68.189.188.132,80,Spectrum
68.115.135.66,80,Spectrum
68.115.135.30,80,Spectrum
66.169.58.225,80,Spectrum
68.115.135.78,80,Spectrum
74.120.43.2,80,HVM  LLC (EXTENDED Stay Hotels)
65.202.253.59,80,Extended Stay Hotels- Ppt1 With Qos- 984
108.205.21.147,80,AT&T U-verse
65.202.253.60,80,Extended Stay Hotels- Ppt1 With Qos- 984
66.169.58.236,80,Spectrum
66.169.58.202,80,Spectrum
12.107.52.222,80,QS1 Data Systems
68.189.188.150,80,Spectrum
66.169.58.198,80,Spectrum
47.37.226.101,80,Spectrum
108.205.20.12,80,AT&T U-verse
