IP,PORT,DESCRIPTION
192.48.243.84,80,Denny's
70.150.27.110,80,AT&T Internet Services
209.136.214.101,80,Xspedius Communications Co.
209.136.215.233,80,Xspedius Communications Co.
209.136.212.20,80,Xspedius Communications Co.
97.81.211.197,80,Spectrum
71.87.231.221,80,Spectrum
66.191.201.112,80,Spectrum
68.115.197.30,80,Spectrum
209.136.214.166,80,Xspedius Communications Co.
209.136.214.39,80,Xspedius Communications Co.
209.136.212.23,80,Xspedius Communications Co.
47.37.230.106,80,Spectrum
66.191.200.100,80,Spectrum
199.5.204.53,80,Spectrum
96.36.125.14,80,Spectrum
68.191.16.158,80,Spectrum
209.136.215.243,80,Xspedius Communications Co.
209.136.214.46,80,Xspedius Communications Co.
71.85.99.36,80,Spectrum
209.136.212.6,80,Xspedius Communications Co.
71.85.102.174,80,Spectrum
70.150.27.29,80,AT&T Internet Services
209.136.212.69,80,Xspedius Communications Co.
71.85.103.168,80,Spectrum
192.146.148.26,80,AT&T Internet Services
99.95.153.26,80,AT&T U-verse
24.240.165.50,80,Spectrum
47.35.197.17,80,Spectrum
96.36.73.243,80,Spectrum
209.136.212.42,80,Xspedius Communications Co.
96.36.125.26,80,Spectrum
47.37.225.33,80,Spectrum
209.136.214.130,80,Xspedius Communications Co.
209.136.214.250,80,Xspedius Communications Co.
47.37.231.92,80,Spectrum
47.37.230.249,80,Spectrum
68.115.197.76,80,Spectrum
96.36.72.154,80,Spectrum
71.87.231.19,80,Spectrum
209.136.215.234,80,Xspedius Communications Co.
71.85.97.89,80,Spectrum
71.15.85.248,80,Spectrum
209.136.212.5,80,Xspedius Communications Co.
107.197.122.245,80,AT&T U-verse
209.136.215.235,80,Xspedius Communications Co.
71.85.120.126,80,Spectrum
71.85.96.129,80,Spectrum
70.150.27.76,80,AT&T Internet Services
96.33.75.201,80,Spectrum
70.150.27.75,80,AT&T Internet Services
96.33.75.188,80,Spectrum
71.85.103.47,80,Spectrum
71.85.97.240,80,Spectrum
71.15.80.71,80,Spectrum
209.136.215.180,80,Xspedius Communications Co.
66.191.206.120,80,Spectrum
71.85.96.166,80,Spectrum
97.81.214.51,80,Spectrum
70.150.27.60,80,AT&T Internet Services
192.146.148.202,80,AT&T Internet Services
71.85.102.161,80,Spectrum
24.196.193.70,80,Spectrum
70.150.27.100,80,AT&T Internet Services
68.191.16.98,80,Spectrum
12.163.218.14,80,AT&T Services
209.136.212.68,80,Xspedius Communications Co.
209.136.215.240,80,Xspedius Communications Co.
71.15.83.19,80,Spectrum
209.136.215.241,80,Xspedius Communications Co.
71.15.86.240,80,Spectrum
209.136.215.246,80,Xspedius Communications Co.
96.36.71.127,80,Spectrum
96.36.75.215,80,Spectrum
66.191.203.131,80,Spectrum
97.81.210.136,80,Spectrum
192.146.148.20,80,AT&T Internet Services
71.85.120.142,80,Spectrum
174.80.209.179,80,Spectrum
209.136.212.119,80,Xspedius Communications Co.
199.5.204.98,80,Spectrum
209.136.214.249,80,Xspedius Communications Co.
209.136.214.180,80,Xspedius Communications Co.
24.216.110.75,80,Spectrum
24.216.111.206,80,Spectrum
70.150.27.38,80,AT&T Internet Services
66.191.207.209,80,Spectrum
209.136.214.165,80,Xspedius Communications Co.
70.150.27.33,80,AT&T Internet Services
99.95.152.168,80,AT&T U-verse
24.240.165.14,80,Spectrum
71.85.103.253,80,Spectrum
66.191.207.232,80,Spectrum
71.85.121.163,80,Spectrum
71.85.99.249,80,Spectrum
68.115.197.75,80,Spectrum
209.136.213.98,80,Xspedius Communications Co.
