IP,PORT,DESCRIPTION
75.143.241.163,80,Spectrum
76.219.90.37,80,AT&T Internet Services
74.121.108.211,80,Integral Solutions Group
74.121.109.243,80,Integral Solutions Group
74.113.16.86,80,Security Finance Corporation Of Spartanburg
68.115.245.154,80,Spectrum
68.115.245.46,80,Spectrum
74.121.110.163,80,Integral Solutions Group
96.37.48.219,80,Spectrum
74.121.110.85,80,Integral Solutions Group
68.115.156.34,80,Spectrum
74.121.108.137,80,Integral Solutions Group
68.115.245.42,80,Spectrum
74.121.108.130,80,Integral Solutions Group
96.36.77.27,80,Spectrum
76.219.89.90,80,AT&T Internet Services
75.139.80.65,80,Spectrum
75.143.243.132,80,Spectrum
74.121.110.60,80,Integral Solutions Group
96.36.76.123,80,Spectrum
96.37.49.19,80,Spectrum
75.143.243.143,80,Spectrum
74.121.109.42,80,Integral Solutions Group
76.219.91.205,80,AT&T Internet Services
75.143.240.253,80,Spectrum
75.139.87.168,80,Spectrum
97.89.182.205,80,Spectrum
172.15.217.232,80,AT&T U-verse
74.121.108.5,80,Integral Solutions Group
75.143.241.23,80,Spectrum
97.89.182.250,80,Spectrum
74.121.108.231,80,Integral Solutions Group
98.84.100.36,80,AT&T Internet Services
68.115.244.226,80,Spectrum
98.84.218.147,80,AT&T Internet Services
96.37.48.175,80,Spectrum
96.37.48.137,80,Spectrum
74.121.110.167,80,Integral Solutions Group
98.84.103.205,80,AT&T Internet Services
74.121.109.43,80,Integral Solutions Group
74.121.109.245,80,Integral Solutions Group
96.37.49.181,80,Spectrum
74.121.109.172,80,Integral Solutions Group
74.121.109.144,80,Integral Solutions Group
75.139.85.80,80,Spectrum
96.37.48.132,80,Spectrum
74.121.110.75,80,Integral Solutions Group
74.121.110.79,80,Integral Solutions Group
68.187.165.76,80,Spectrum
76.219.90.41,80,AT&T Internet Services
172.15.216.206,80,AT&T U-verse
74.121.109.165,80,Integral Solutions Group
74.113.16.6,80,Security Finance Corporation Of Spartanburg
68.115.245.86,80,Spectrum
68.187.165.16,80,Spectrum
98.84.103.3,80,AT&T Internet Services
96.37.48.182,80,Spectrum
74.121.110.82,80,Integral Solutions Group
74.121.108.126,80,Integral Solutions Group
74.121.108.42,80,Integral Solutions Group
74.113.16.105,80,Security Finance Corporation Of Spartanburg
74.121.109.244,80,Integral Solutions Group
74.121.110.74,80,Integral Solutions Group
68.115.245.30,80,Spectrum
74.121.109.188,80,Integral Solutions Group
75.139.85.145,80,Spectrum
75.143.243.158,80,Spectrum
98.84.103.237,80,AT&T Internet Services
74.121.109.58,80,Integral Solutions Group
98.84.102.141,80,AT&T Internet Services
74.121.110.20,80,Integral Solutions Group
74.121.108.222,80,Integral Solutions Group
68.115.244.106,80,Spectrum
74.113.16.100,80,Security Finance Corporation Of Spartanburg
68.115.244.86,80,Spectrum
75.139.81.37,80,Spectrum
74.121.109.246,80,Integral Solutions Group
74.121.109.182,80,Integral Solutions Group
75.143.242.141,80,Spectrum
68.115.245.186,80,Spectrum
75.143.243.244,80,Spectrum
68.115.245.78,80,Spectrum
74.121.109.34,80,Integral Solutions Group
97.89.182.142,80,Spectrum
96.37.48.129,80,Spectrum
74.121.109.242,80,Integral Solutions Group
74.121.111.98,80,Integral Solutions Group
98.84.103.138,80,AT&T Internet Services
76.219.88.35,80,AT&T Internet Services
76.219.91.17,80,AT&T Internet Services
75.143.241.80,80,Spectrum
96.37.48.168,80,Spectrum
96.37.49.125,80,Spectrum
74.121.109.181,80,Integral Solutions Group
96.37.48.169,80,Spectrum
74.121.108.75,80,Integral Solutions Group
74.121.108.18,80,Integral Solutions Group
75.139.85.233,80,Spectrum
