IP,PORT,DESCRIPTION
72.34.194.10,80,QS1 Data Systems
72.34.192.220,80,QS1 Data Systems
72.34.211.130,80,QS1 Data Systems
72.34.201.26,80,QS1 Data Systems
72.34.194.159,80,QS1 Data Systems
72.34.194.49,80,QS1 Data Systems
169.146.191.150,80,Milliken & Company
72.34.223.24,80,QS1 Data Systems
64.86.207.1,80,Tata Communications (america)
68.115.158.92,80,Spectrum
68.115.199.98,80,Spectrum
162.211.46.89,80,Time Warner Cable
162.211.46.98,80,Time Warner Cable
72.34.208.221,80,QS1 Data Systems
72.34.192.236,80,QS1 Data Systems
71.80.61.43,80,Spectrum
169.146.191.247,80,Milliken & Company
72.34.216.150,80,QS1 Data Systems
72.34.216.213,80,QS1 Data Systems
199.190.174.54,80,Wofford College
72.34.194.158,80,QS1 Data Systems
72.34.194.2,80,QS1 Data Systems
24.181.240.235,80,Spectrum
72.34.192.111,80,QS1 Data Systems
199.190.174.44,80,Wofford College
47.49.186.109,80,Spectrum
72.34.197.10,80,QS1 Data Systems
40.137.8.7,80,Windstream Communications
72.34.216.176,80,QS1 Data Systems
72.34.216.141,80,QS1 Data Systems
199.190.174.52,80,Wofford College
71.15.241.106,80,Spectrum
72.34.216.242,80,QS1 Data Systems
24.181.240.194,80,Spectrum
72.34.194.21,80,QS1 Data Systems
72.34.216.66,80,QS1 Data Systems
97.89.185.54,80,Spectrum
97.89.187.162,80,Spectrum
72.34.216.235,80,QS1 Data Systems
72.34.194.25,80,QS1 Data Systems
169.146.191.142,80,Milliken & Company
47.49.186.26,80,Spectrum
169.146.191.227,80,Milliken & Company
169.146.191.8,80,Milliken & Company
97.89.185.18,80,Spectrum
24.178.145.252,80,Spectrum
72.34.192.18,80,QS1 Data Systems
72.34.192.11,80,QS1 Data Systems
72.34.194.223,80,QS1 Data Systems
199.190.174.32,80,Wofford College
71.85.98.43,80,Spectrum
72.34.215.200,80,QS1 Data Systems
72.34.207.1,80,QS1 Data Systems
72.34.216.168,80,QS1 Data Systems
199.190.174.190,80,Wofford College
72.34.192.156,80,QS1 Data Systems
64.53.18.100,80,Spirit Communications
72.34.216.187,80,QS1 Data Systems
24.181.240.234,80,Spectrum
108.205.22.21,80,AT&T U-verse
24.178.145.39,80,Spectrum
72.34.205.2,80,QS1 Data Systems
72.34.216.173,80,QS1 Data Systems
72.34.194.221,80,QS1 Data Systems
68.115.158.214,80,Spectrum
72.34.194.9,80,QS1 Data Systems
72.34.194.3,80,QS1 Data Systems
199.190.174.235,80,Wofford College
74.248.238.123,80,AT&T Internet Services
24.181.240.162,80,Spectrum
71.80.60.56,80,Spectrum
24.178.145.189,80,Spectrum
72.34.216.99,80,QS1 Data Systems
72.34.194.24,80,QS1 Data Systems
24.181.240.250,80,Spectrum
169.146.191.106,80,Milliken & Company
24.178.145.210,80,Spectrum
75.143.244.245,80,Spectrum
72.34.216.140,80,QS1 Data Systems
64.53.18.110,80,Spirit Communications
64.53.18.52,80,Spirit Communications
72.34.210.100,80,QS1 Data Systems
72.34.192.27,80,QS1 Data Systems
162.211.46.109,80,Time Warner Cable
72.34.216.236,80,QS1 Data Systems
72.34.194.8,80,QS1 Data Systems
72.34.208.111,80,QS1 Data Systems
72.34.195.16,80,QS1 Data Systems
162.211.46.120,80,Time Warner Cable
72.34.211.101,80,QS1 Data Systems
72.34.194.156,80,QS1 Data Systems
75.143.244.54,80,Spectrum
97.89.184.6,80,Spectrum
71.85.98.127,80,Spectrum
47.49.182.38,80,Spectrum
71.80.60.4,80,Spectrum
162.211.46.68,80,Time Warner Cable
169.146.191.181,80,Milliken & Company
162.211.46.130,80,Time Warner Cable
