IP,PORT,DESCRIPTION
204.116.212.13,80,Spirit Communications
47.46.219.198,80,Spectrum
47.46.218.198,80,Spectrum
204.116.212.105,80,Spirit Communications
47.46.218.205,80,Spectrum
47.46.219.164,80,Spectrum
204.116.212.125,80,Spirit Communications
204.116.212.100,80,Spirit Communications
206.74.6.22,80,Spirit Communications
24.158.74.35,80,Spectrum
47.46.219.163,80,Spectrum
207.144.55.152,80,Spirit Communications
204.116.212.97,80,Spirit Communications
75.136.152.3,80,Spectrum
107.133.128.229,80,AT&T U-verse
71.12.30.134,80,Spectrum
47.46.219.174,80,Spectrum
24.158.74.127,80,Spectrum
204.116.212.108,80,Spirit Communications
75.138.114.43,80,Spectrum
47.46.219.126,80,Spectrum
68.115.145.212,80,Spectrum
71.12.30.230,80,Spectrum
71.12.30.98,80,Spectrum
204.116.212.70,80,Spirit Communications
206.74.6.2,80,Spirit Communications
71.12.30.122,80,Spectrum
47.46.219.234,80,Spectrum
108.76.160.193,80,AT&T U-verse
204.116.212.21,80,Spirit Communications
68.115.145.123,80,Spectrum
208.61.236.186,80,AT&T Internet Services
47.46.219.190,80,Spectrum
47.46.219.227,80,Spectrum
47.46.219.82,80,Spectrum
68.115.145.242,80,Spectrum
47.46.218.139,80,Spectrum
206.74.6.25,80,Spirit Communications
68.115.145.126,80,Spectrum
47.46.219.162,80,Spectrum
204.116.212.73,80,Spirit Communications
47.46.218.170,80,Spectrum
47.46.218.242,80,Spectrum
204.116.212.18,80,Spirit Communications
47.37.227.115,80,Spectrum
71.12.30.19,80,Spectrum
68.115.145.122,80,Spectrum
75.136.152.73,80,Spectrum
24.158.74.48,80,Spectrum
47.46.218.237,80,Spectrum
71.85.101.0,80,Spectrum
47.46.219.114,80,Spectrum
204.116.212.98,80,Spirit Communications
47.46.218.10,80,Spectrum
47.46.218.11,80,Spectrum
47.46.219.122,80,Spectrum
204.116.212.20,80,Spirit Communications
68.115.145.94,80,Spectrum
71.12.30.18,80,Spectrum
204.116.212.103,80,Spirit Communications
71.12.30.102,80,Spectrum
108.213.197.134,80,AT&T U-verse
68.115.145.230,80,Spectrum
204.116.212.12,80,Spirit Communications
47.46.219.58,80,Spectrum
204.116.212.23,80,Spirit Communications
12.221.48.18,80,AT&T Services
47.46.219.34,80,Spectrum
71.12.30.254,80,Spectrum
47.46.218.74,80,Spectrum
68.189.154.36,80,Spectrum
206.74.6.29,80,Spirit Communications
47.46.219.226,80,Spectrum
24.181.202.194,80,Spectrum
47.46.218.250,80,Spectrum
47.46.219.18,80,Spectrum
68.115.145.206,80,Spectrum
204.116.212.101,80,Spirit Communications
47.46.218.140,80,Spectrum
47.46.218.234,80,Spectrum
108.213.196.31,80,AT&T U-verse
47.46.218.235,80,Spectrum
206.74.6.1,80,Spirit Communications
204.116.212.29,80,Spirit Communications
24.158.74.64,80,Spectrum
