IP,PORT,DESCRIPTION
68.191.31.178,80,Spectrum
71.85.117.75,80,Spectrum
71.85.117.96,80,Spectrum
71.15.93.146,80,Spectrum
75.139.76.147,80,Spectrum
71.12.68.44,80,Spectrum
96.37.234.65,80,Spectrum
24.241.142.125,80,Spectrum
68.191.20.49,80,Spectrum
74.248.244.215,80,AT&T Internet Services
165.166.236.61,80,Spirit Communications
23.125.166.81,80,AT&T U-verse
66.147.59.50,80,Windstream Communications
216.27.66.149,80,TierPoint, LLC
165.166.237.234,80,Spirit Communications
71.85.117.19,80,Spectrum
68.191.31.62,80,Spectrum
68.115.246.210,80,Spectrum
165.166.237.237,80,Spirit Communications
24.241.142.58,80,Spectrum
209.177.228.38,80,Windstream Communications
97.89.134.230,80,Spectrum
216.27.66.35,80,TierPoint, LLC
71.85.117.159,80,Spectrum
165.166.236.110,80,Spirit Communications
96.37.244.174,80,Spectrum
68.191.20.194,80,Spectrum
204.116.203.101,80,Spirit Communications
75.139.75.200,80,Spectrum
71.85.116.16,80,Spectrum
71.85.117.206,80,Spectrum
97.82.169.187,80,Spectrum
204.116.203.130,80,Spirit Communications
165.166.236.120,80,Spirit Communications
66.147.56.150,80,Windstream Communications
24.241.142.2,80,Spectrum
64.53.43.57,80,Spirit Communications
71.85.116.176,80,Spectrum
68.115.246.150,80,Spectrum
71.12.68.102,80,Spectrum
96.37.242.108,80,Spectrum
71.85.75.190,80,Spectrum
68.191.31.220,80,Spectrum
66.147.56.44,80,Windstream Communications
99.24.242.20,80,AT&T U-verse
209.177.225.51,80,Windstream Communications
66.147.57.78,80,Windstream Communications
209.177.225.106,80,Windstream Communications
71.85.116.215,80,Spectrum
64.53.43.235,80,Spirit Communications
12.22.147.220,80,AT&T Services
71.85.75.220,80,Spectrum
68.191.20.230,80,Spectrum
66.147.56.149,80,Windstream Communications
71.85.116.254,80,Spectrum
97.82.171.184,80,Spectrum
96.37.235.213,80,Spectrum
71.85.116.145,80,Spectrum
97.82.168.187,80,Spectrum
96.37.240.249,80,Spectrum
12.22.147.219,80,AT&T Services
64.53.43.211,80,Spirit Communications
68.191.31.98,80,Spectrum
68.115.246.26,80,Spectrum
23.125.165.197,80,AT&T U-verse
165.166.236.21,80,Spirit Communications
204.116.203.226,80,Spirit Communications
71.15.92.26,80,Spectrum
66.147.59.37,80,Windstream Communications
96.37.246.199,80,Spectrum
71.85.116.172,80,Spectrum
97.82.168.244,80,Spectrum
96.37.242.241,80,Spectrum
47.38.78.120,80,Spectrum
71.85.117.176,80,Spectrum
108.206.52.100,80,AT&T U-verse
68.115.246.34,80,Spectrum
99.24.241.152,80,AT&T U-verse
71.15.92.76,80,Spectrum
47.38.78.74,80,Spectrum
47.38.78.69,80,Spectrum
204.116.203.182,80,Spirit Communications
96.37.246.57,80,Spectrum
165.166.236.98,80,Spirit Communications
96.37.243.88,80,Spectrum
204.116.203.147,80,Spirit Communications
96.37.246.148,80,Spectrum
66.147.57.10,80,Windstream Communications
71.15.93.72,80,Spectrum
75.139.74.60,80,Spectrum
71.15.93.9,80,Spectrum
165.166.236.121,80,Spirit Communications
74.248.244.64,80,AT&T Internet Services
96.37.244.204,80,Spectrum
75.139.74.80,80,Spectrum
68.191.20.89,80,Spectrum
68.115.246.134,80,Spectrum
