IP,PORT,DESCRIPTION
173.186.244.209,80,Windstream Communications
173.186.189.241,80,Windstream Communications
173.186.189.243,80,Windstream Communications
173.186.241.62,80,Windstream Communications
173.186.185.110,80,Windstream Communications
173.186.244.60,80,Windstream Communications
71.46.212.236,80,Bright House Business
47.49.148.218,80,Spectrum
173.186.244.46,80,Windstream Communications
173.186.244.197,80,Windstream Communications
173.186.184.54,80,Windstream Communications
173.186.190.7,80,Windstream Communications
12.249.176.198,80,AT&T Services
12.249.179.118,80,AT&T Services
47.49.148.211,80,Spectrum
173.186.189.240,80,Windstream Communications
173.186.190.125,80,Windstream Communications
12.249.177.18,80,AT&T Services
173.186.244.44,80,Windstream Communications
12.155.94.118,80,AT&T Services
173.186.184.201,80,Windstream Communications
173.186.244.196,80,Windstream Communications
173.186.184.53,80,Windstream Communications
173.186.189.17,80,Windstream Communications
173.186.184.198,80,Windstream Communications
173.186.184.225,80,Windstream Communications
173.186.189.137,80,Windstream Communications
173.186.244.57,80,Windstream Communications
173.186.244.16,80,Windstream Communications
173.186.244.5,80,Windstream Communications
173.186.184.200,80,Windstream Communications
47.49.148.163,80,Spectrum
173.186.244.4,80,Windstream Communications
173.186.244.9,80,Windstream Communications
173.186.184.229,80,Windstream Communications
173.186.244.17,80,Windstream Communications
47.49.148.230,80,Spectrum
173.186.244.62,80,Windstream Communications
173.186.189.242,80,Windstream Communications
173.186.190.133,80,Windstream Communications
173.186.244.23,80,Windstream Communications
173.186.244.30,80,Windstream Communications
173.186.244.3,80,Windstream Communications
173.186.184.197,80,Windstream Communications
12.249.180.102,80,AT&T Services
173.186.244.43,80,Windstream Communications
173.186.189.77,80,Windstream Communications
173.186.184.230,80,Windstream Communications
71.46.212.231,80,Bright House Business
173.186.184.52,80,Windstream Communications
173.186.189.18,80,Windstream Communications
173.186.190.6,80,Windstream Communications
