IP,PORT,DESCRIPTION
216.59.47.96,80,Immedion, LLC
47.42.23.185,80,Spectrum
75.137.91.238,80,Spectrum
47.35.217.138,80,Spectrum
66.191.211.90,80,Spectrum
141.197.8.179,80,Fluor Enterprises
199.15.174.148,80,ERAD Corporation
66.219.22.86,80,Immedion, LLC
216.59.47.154,80,Immedion, LLC
208.87.87.69,80,Immedion, LLC
68.191.67.200,80,Spectrum
67.23.181.11,80,Immedion, LLC
67.23.168.48,80,Immedion, LLC
99.136.255.90,80,AT&T Internet Services
47.35.216.117,80,Spectrum
47.35.216.157,80,Spectrum
216.59.54.21,80,Immedion, LLC
66.191.211.61,80,Spectrum
216.59.41.244,80,Immedion, LLC
216.59.52.33,80,Immedion, LLC
66.219.22.63,80,Immedion, LLC
216.59.31.246,80,Immedion, LLC
216.59.43.163,80,Immedion, LLC
208.91.132.152,80,Immedion, LLC
66.83.22.226,80,Windstream Communications
208.87.84.151,80,Immedion, LLC
66.219.23.173,80,Immedion, LLC
208.69.229.245,80,Immedion, LLC
47.35.217.41,80,Spectrum
66.219.28.9,80,Immedion, LLC
216.59.46.98,80,Immedion, LLC
47.49.181.62,80,Spectrum
67.23.168.57,80,Immedion, LLC
47.35.217.135,80,Spectrum
66.219.22.68,80,Immedion, LLC
66.219.25.108,80,Immedion, LLC
137.26.138.179,80,Spectrum
216.59.36.12,80,Immedion, LLC
216.59.46.59,80,Immedion, LLC
47.46.202.118,80,Spectrum
137.26.138.67,80,Spectrum
66.219.22.146,80,Immedion, LLC
216.59.47.104,80,Immedion, LLC
208.87.87.33,80,Immedion, LLC
67.23.167.131,80,Immedion, LLC
216.59.31.247,80,Immedion, LLC
216.59.30.204,80,Immedion, LLC
208.83.78.100,80,Immedion, LLC
208.83.78.71,80,Immedion, LLC
47.46.202.126,80,Spectrum
199.15.168.150,80,ACS Technologies
24.241.27.119,80,Spectrum
216.59.38.48,80,Immedion, LLC
216.59.43.165,80,Immedion, LLC
47.35.216.221,80,Spectrum
165.166.107.226,80,Spirit Communications
216.59.47.168,80,Immedion, LLC
204.116.209.68,80,Spirit Communications
47.35.217.227,80,Spectrum
204.116.209.97,80,Spirit Communications
216.59.22.71,80,Immedion, LLC
208.87.86.201,80,Immedion, LLC
208.91.132.194,80,Immedion, LLC
199.15.174.216,80,ERAD Corporation
99.136.255.201,80,AT&T Internet Services
75.137.91.172,80,Spectrum
216.59.41.222,80,Immedion, LLC
208.91.132.150,80,Immedion, LLC
68.187.161.106,80,Spectrum
216.59.43.151,80,Immedion, LLC
216.59.46.62,80,Immedion, LLC
66.219.22.22,80,Immedion, LLC
216.59.38.79,80,Immedion, LLC
216.59.42.81,80,Immedion, LLC
67.23.168.69,80,Immedion, LLC
199.15.168.167,80,ACS Technologies
216.59.42.52,80,Immedion, LLC
208.69.229.171,80,Immedion, LLC
66.219.22.94,80,Immedion, LLC
216.59.38.122,80,Immedion, LLC
156.65.11.200,80,Michelin North America
216.59.41.250,80,Immedion, LLC
216.59.46.101,80,Immedion, LLC
199.15.170.76,80,ROK Technologies
24.216.154.31,80,Spectrum
12.34.206.130,80,AT&T Services
208.91.130.130,80,Immedion, LLC
216.59.43.178,80,Immedion, LLC
156.65.10.39,80,Michelin North America
199.15.170.77,80,ROK Technologies
47.46.202.254,80,Spectrum
47.35.217.224,80,Spectrum
67.23.190.228,80,Immedion, LLC
137.26.141.54,80,Spectrum
23.127.183.177,80,AT&T U-verse
47.35.216.165,80,Spectrum
47.35.217.76,80,Spectrum
216.59.41.177,80,Immedion, LLC
70.150.177.19,80,Greenville Tech College - GSP
24.197.124.78,80,Spectrum
