IP,PORT,DESCRIPTION
158.158.239.166,80,Bob Jones University
158.158.239.105,80,Bob Jones University
158.158.239.182,80,Bob Jones University
158.158.239.162,80,Bob Jones University
158.158.239.60,80,Bob Jones University
158.158.239.106,80,Bob Jones University
158.158.239.80,80,Bob Jones University
158.158.239.163,80,Bob Jones University
158.158.239.53,80,Bob Jones University
158.158.239.159,80,Bob Jones University
158.158.239.179,80,Bob Jones University
158.158.239.9,80,Bob Jones University
158.158.239.181,80,Bob Jones University
158.158.239.84,80,Bob Jones University
158.158.239.178,80,Bob Jones University
158.158.239.167,80,Bob Jones University
158.158.239.109,80,Bob Jones University
158.158.239.42,80,Bob Jones University
158.158.239.52,80,Bob Jones University
158.158.239.91,80,Bob Jones University
158.158.239.168,80,Bob Jones University
158.158.240.151,80,Bob Jones University
158.158.239.160,80,Bob Jones University
