IP,PORT,DESCRIPTION
47.49.188.91,80,Spectrum
71.85.113.15,80,Spectrum
97.65.142.30,80,tw telecom holdings
71.12.93.177,80,Spectrum
4.71.125.149,80,Level 3 Communications
47.42.18.128,80,Spectrum
66.194.124.155,80,tw telecom holdings
4.71.125.148,80,Level 3 Communications
96.33.67.242,80,Spectrum
71.85.79.173,80,Spectrum
47.35.223.250,80,Spectrum
4.71.125.27,80,Level 3 Communications
64.53.38.237,80,Spirit Communications
96.36.245.70,80,Spectrum
47.42.18.167,80,Spectrum
64.53.38.243,80,Spirit Communications
96.36.248.52,80,Spectrum
47.42.19.223,80,Spectrum
204.10.5.101,80,ScanSource Inc.
24.216.63.70,80,Spectrum
97.65.142.45,80,tw telecom holdings
96.33.70.124,80,Spectrum
96.33.64.64,80,Spectrum
47.49.133.136,80,Spectrum
97.82.214.182,80,Spectrum
71.85.113.120,80,Spectrum
165.166.39.30,80,Spirit Telecom
96.33.70.125,80,Spectrum
96.33.69.6,80,Spectrum
165.166.38.17,80,Spirit Telecom
68.118.17.34,80,Spectrum
68.115.243.91,80,Spectrum
165.166.38.204,80,Spirit Telecom
96.36.225.194,80,Spectrum
66.194.124.74,80,tw telecom holdings
68.115.242.202,80,Spectrum
96.36.250.162,80,Spectrum
207.144.223.192,80,Spirit Communications
96.33.65.210,80,Spectrum
97.65.142.9,80,tw telecom holdings
204.10.7.211,80,ScanSource Inc.
47.35.218.4,80,Spectrum
47.35.220.141,80,Spectrum
47.35.212.214,80,Spectrum
68.191.118.130,80,Vintel Hotel Parkway, LLC
97.65.142.24,80,tw telecom holdings
47.35.222.108,80,Spectrum
4.71.125.162,80,Level 3 Communications
207.144.223.201,80,Spirit Communications
204.10.5.103,80,ScanSource Inc.
74.223.6.114,80,Windstream Communications
204.10.4.201,80,ScanSource Inc.
47.35.220.60,80,Spectrum
24.216.59.220,80,Spectrum
4.71.126.237,80,Level 3 Communications
165.166.32.44,80,Spirit Telecom
207.144.223.58,80,Spirit Communications
4.71.125.183,80,Level 3 Communications
71.85.79.205,80,Spectrum
47.42.18.177,80,Spectrum
165.166.39.113,80,Spirit Telecom
4.71.125.158,80,Level 3 Communications
47.35.220.251,80,Spectrum
96.33.69.174,80,Spectrum
207.250.204.11,80,Level 3 Communications
207.144.223.9,80,Spirit Communications
71.12.94.211,80,Spectrum
96.36.249.74,80,Spectrum
96.36.224.46,80,Spectrum
71.85.113.102,80,Spectrum
207.250.204.5,80,Level 3 Communications
47.35.210.112,80,Spectrum
97.65.142.22,80,tw telecom holdings
97.65.142.114,80,tw telecom holdings
207.250.204.15,80,Level 3 Communications
207.144.223.74,80,Spirit Communications
71.12.83.62,80,Spectrum
96.33.71.209,80,Spectrum
4.71.121.2,80,Level 3 Communications
165.166.38.170,80,Spirit Telecom
68.118.17.106,80,Spectrum
24.177.239.9,80,Spectrum
47.46.193.67,80,Spectrum
71.85.79.14,80,Spectrum
47.49.132.75,80,Spectrum
71.12.95.195,80,Spectrum
47.35.210.170,80,Spectrum
66.194.124.157,80,tw telecom holdings
165.166.38.205,80,Spirit Telecom
96.36.224.147,80,Spectrum
47.49.152.2,80,Spectrum
24.216.63.107,80,Spectrum
204.10.5.111,80,ScanSource Inc.
104.55.43.39,80,AT&T U-verse
71.12.94.55,80,Spectrum
68.115.242.174,80,Spectrum
165.166.38.13,80,Spirit Telecom
207.250.204.27,80,Level 3 Communications
97.65.142.165,80,tw telecom holdings
71.85.113.108,80,Spectrum
