IP,PORT,DESCRIPTION
71.85.95.113,80,Spectrum
71.85.107.23,80,Spectrum
71.85.107.68,80,Spectrum
71.85.95.24,80,Spectrum
66.64.145.34,80,Windstream Communications
216.105.147.200,80,Immedion, LLC
75.136.107.58,80,Spectrum
216.105.147.134,80,Immedion, LLC
75.131.166.68,80,Spectrum
71.85.106.180,80,Spectrum
216.105.147.179,80,Immedion, LLC
71.85.84.133,80,Spectrum
71.85.106.141,80,Spectrum
216.105.147.146,80,Immedion, LLC
71.85.107.32,80,Spectrum
71.14.118.57,80,Spectrum
216.105.147.159,80,Immedion, LLC
64.28.200.37,80,VC3
66.64.147.138,80,Windstream Communications
71.85.80.22,80,Spectrum
64.28.200.51,80,VC3
71.85.95.121,80,Spectrum
71.85.70.106,80,Spectrum
47.46.220.202,80,Spectrum
47.49.149.242,80,Spectrum
71.85.95.118,80,Spectrum
71.85.95.114,80,Spectrum
71.85.95.25,80,Spectrum
216.105.147.202,80,Immedion, LLC
216.105.147.176,80,Immedion, LLC
204.77.145.13,80,City of Greenville, SC
71.85.86.198,80,Spectrum
204.116.125.146,80,Spirit Communications
71.85.95.112,80,Spectrum
71.85.107.16,80,Spectrum
64.28.200.109,80,VC3
71.85.106.33,80,Spectrum
71.85.106.44,80,Spectrum
64.28.207.245,80,VC3
64.28.207.246,80,VC3
71.14.119.94,80,Spectrum
71.85.70.206,80,Spectrum
68.191.29.138,80,Spectrum
216.105.147.182,80,Immedion, LLC
216.105.147.110,80,Immedion, LLC
68.115.128.101,80,Spectrum
216.105.147.233,80,Immedion, LLC
68.118.26.90,80,Spectrum
98.84.72.88,80,AT&T Internet Services
68.115.128.170,80,Spectrum
64.28.200.40,80,VC3
71.85.86.156,80,Spectrum
71.14.113.198,80,Spectrum
204.77.145.16,80,City of Greenville, SC
47.46.220.58,80,Spectrum
204.77.145.6,80,City of Greenville, SC
71.85.94.3,80,Spectrum
47.46.221.25,80,Spectrum
75.136.108.180,80,Spectrum
47.46.223.226,80,Spectrum
71.85.70.173,80,Spectrum
64.28.207.252,80,VC3
75.136.105.95,80,Spectrum
71.85.106.133,80,Spectrum
47.46.220.234,80,Spectrum
216.105.147.119,80,Immedion, LLC
216.105.147.162,80,Immedion, LLC
216.105.147.170,80,Immedion, LLC
216.105.147.116,80,Immedion, LLC
12.247.103.126,80,AT&T Services
71.85.106.78,80,Spectrum
71.85.106.120,80,Spectrum
64.28.200.49,80,VC3
64.28.200.44,80,VC3
216.105.147.144,80,Immedion, LLC
47.46.223.30,80,Spectrum
71.85.106.254,80,Spectrum
75.136.104.97,80,Spectrum
216.105.147.238,80,Immedion, LLC
204.116.125.133,80,Spirit Communications
216.105.147.118,80,Immedion, LLC
216.105.147.168,80,Immedion, LLC
71.85.80.24,80,Spectrum
68.115.128.122,80,Spectrum
216.105.147.207,80,Immedion, LLC
204.77.145.160,80,City of Greenville, SC
71.14.115.44,80,Spectrum
75.136.104.26,80,Spectrum
71.85.80.27,80,Spectrum
216.105.147.178,80,Immedion, LLC
64.28.200.60,80,VC3
216.105.147.213,80,Immedion, LLC
66.64.145.125,80,Windstream Communications
74.113.187.5,80,Radio Training Network
47.46.221.186,80,Spectrum
216.105.147.225,80,Immedion, LLC
71.85.84.228,80,Spectrum
