IP,PORT,DESCRIPTION
172.74.238.210,80,Time Warner Cable
75.189.81.87,80,Time Warner Cable
75.189.82.211,80,Time Warner Cable
172.74.237.202,80,Time Warner Cable
173.93.149.188,80,Time Warner Cable
173.93.148.111,80,Time Warner Cable
172.74.237.198,80,Time Warner Cable
70.101.1.43,80,Frontier Communications
66.57.103.201,80,Time Warner Cable
172.74.239.234,80,Time Warner Cable
75.189.89.186,80,Time Warner Cable
70.61.210.129,80,Time Warner Cable
206.198.134.174,80,Bigleaf Networks
96.10.110.166,80,Time Warner Cable
70.61.210.242,80,Time Warner Cable
96.10.110.249,80,Time Warner Cable
75.189.89.229,80,Time Warner Cable
66.57.103.51,80,Time Warner Cable
174.107.91.67,80,Time Warner Cable
172.74.225.151,80,Time Warner Cable
66.57.103.181,80,Time Warner Cable
70.61.210.97,80,Time Warner Cable
75.189.93.123,80,Time Warner Cable
70.61.210.250,80,Time Warner Cable
75.189.83.127,80,Time Warner Cable
75.189.92.137,80,Time Warner Cable
173.93.148.179,80,Time Warner Cable
75.189.80.75,80,Time Warner Cable
66.57.103.173,80,Time Warner Cable
75.189.82.81,80,Time Warner Cable
75.189.83.13,80,Time Warner Cable
96.10.110.145,80,Time Warner Cable
173.93.149.46,80,Time Warner Cable
66.57.103.213,80,Time Warner Cable
96.10.110.233,80,Time Warner Cable
173.93.148.57,80,Time Warner Cable
70.61.210.117,80,Time Warner Cable
70.61.210.212,80,Time Warner Cable
70.61.210.61,80,Time Warner Cable
75.189.90.120,80,Time Warner Cable
173.93.149.212,80,Time Warner Cable
173.93.149.190,80,Time Warner Cable
172.74.237.52,80,Time Warner Cable
174.107.91.27,80,Time Warner Cable
70.61.210.253,80,Time Warner Cable
172.74.234.245,80,Time Warner Cable
70.61.210.145,80,Time Warner Cable
66.153.147.7,80,Horry Telephone Cooperative
172.74.237.197,80,Time Warner Cable
