IP,DESCRIPTION
173.93.148.111,Time Warner Cable
172.74.237.198,Time Warner Cable
75.189.89.186,Time Warner Cable
174.107.91.67,Time Warner Cable
66.57.103.181,Time Warner Cable
75.189.82.81,Time Warner Cable
66.57.103.213,Time Warner Cable
173.93.148.57,Time Warner Cable
70.61.210.212,Time Warner Cable
70.61.210.61,Time Warner Cable
75.189.90.120,Time Warner Cable
172.74.234.245,Time Warner Cable
